,source,dest,cost_20ft,time_20ft,cost_40ft,time_40ft,cost_roro,time_roro
173,N3,Z1,197.1989307,102.031722,96.25185901,102.031722,190.31,95.0
174,N3,Z2,212.3680792,109.880316,103.6558482,109.880316,204.95,102.3
175,N3,Z3,227.5372277,117.72891,111.0598373,117.72891,219.59,109.6
176,N3,Z4,182.0297822,94.18312799,88.84786986,94.18312799,175.675,87.7
177,N3,Z5,257.8755247,133.426098,125.8678156,133.426098,248.87,124.3
178,N3,Z6,106.1840396,54.94015799,51.82792408,54.94015799,102.475,51.2
179,N3,Z7,227.5372277,117.72891,111.0598373,117.72891,219.59,109.6
180,N4,N9,26.08231708,5.5,12.73065476,5.5,31.745,9.3
181,N4,N10,28.50609756,16.0,13.91369048,16.0,31.245,9.7
182,N4,S1,41.51197493,15.92592593,20.26179729,15.92592593,43.495,10.9
183,N4,S2,91.01489105,47.091564,44.42393493,47.091564,87.835,43.9
184,N4,S3,39.73968054,25.17391304,19.39674884,25.17391304,131.755,23.0
185,N4,S4,47.33231708,23.5,23.10267857,23.5,46.06,26.4
186,N4,S5,57.11509145,22.25,27.87760417,22.25,47.575,21.2
187,N4,S6,32.19512195,20.0,15.71428571,20.0,43.6,14.7
188,N4,S7,40.37238676,11.35714286,19.70556973,11.35714286,36.775,10.5
189,N4,S8,34.02439025,26.0,16.60714286,26.0,44.5,32.0
190,N4,E1,29.19809147,22.4,14.2514494,22.4,40.55,19.0
191,N4,E2,40.83305155,28.63636364,19.93041802,28.63636364,40.215,32.2
192,N4,E3,30.45820993,27.71428571,14.86650723,27.71428571,173.425,98.5
193,N4,E4,27.71627033,22.73333333,13.52817956,22.73333333,41.05,17.5
194,N4,E5,30.8213969,26.27272727,15.04377706,26.27272727,38.335,32.0
195,N4,E6,31.31441638,26.14285714,15.28441752,26.14285714,36.5,30.9
196,N4,E7,40.00785061,35.5,19.52764137,35.5,147.295,74.1
197,N4,E8,101.6936331,59.78744246,49.63617804,59.78744246,156.085,88.6
198,N4,E9,90.3943405,53.1443933,44.12104715,53.1443933,138.74,78.8
199,N4,E10,40.92987805,45.25,19.97767857,45.25,160.685,80.9
200,N4,E11,169.4893885,99.64573743,82.72696341,99.64573743,260.14,147.7
201,N4,M1,33.73282521,30.33333333,16.46483135,30.33333333,42.36,31.8
202,N4,M2,30.18292683,29.0,14.73214286,29.0,56.14,27.9
203,N4,M3,37.85060976,41.0,18.47470238,41.0,52.0,24.0
204,N4,M4,78.6178862,58.0,38.37301587,58.0,71.815,60.0
